route_long_name,end_date,route_type,route_text_color,agency_id,route_id,route_color,route_desc,directions,route_url,route_short_name,start_date,direction_id,direction_headsign,direction_name
Santiago - Puente Alto,2019-12-31,3,FFFFFF,TS,205e,0951BC,,"[{'direction_id': 0, 'route_id': '205e', 'direction_headsign': 'Puente Alto', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '205e', 'direction_headsign': 'Santiago', 'direction_name': 'Inbound'}]",,205e,2019-07-08,1,Santiago,Inbound
Alameda - El Volcan,2019-12-31,3,FFFFFF,TS,209e,0951BC,,"[{'direction_id': 0, 'route_id': '209e', 'direction_headsign': 'El Volcán', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '209e', 'direction_headsign': 'Alameda', 'direction_name': 'Inbound'}]",,209e,2019-07-08,0,El Volcán,Outbound
Alameda - El Volcan,2019-12-31,3,FFFFFF,TS,209e,0951BC,,"[{'direction_id': 0, 'route_id': '209e', 'direction_headsign': 'El Volcán', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '209e', 'direction_headsign': 'Alameda', 'direction_name': 'Inbound'}]",,209e,2019-07-08,1,Alameda,Inbound
Providencia - San Joaquin,2019-12-31,3,000000,TS,103,F58220,,"[{'direction_id': 0, 'route_id': '103', 'direction_headsign': 'San Joaquín', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '103', 'direction_headsign': 'Providencia', 'direction_name': 'Inbound'}]",,103,2019-07-06,0,San Joaquín,Outbound
Providencia - San Joaquin,2019-12-31,3,000000,TS,103,F58220,,"[{'direction_id': 0, 'route_id': '103', 'direction_headsign': 'San Joaquín', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '103', 'direction_headsign': 'Providencia', 'direction_name': 'Inbound'}]",,103,2019-07-06,1,Providencia,Inbound
(M) Santa Ana - La Reina,2019-12-31,3,000000,TS,403,F58220,,"[{'direction_id': 1, 'route_id': '403', 'direction_headsign': '(M) Santa Ana', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '403', 'direction_headsign': 'La Reina', 'direction_name': 'Outbound'}]",,403,2019-07-06,1,(M) Santa Ana,Inbound
(M) Santa Ana - La Reina,2019-12-31,3,000000,TS,403,F58220,,"[{'direction_id': 1, 'route_id': '403', 'direction_headsign': '(M) Santa Ana', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '403', 'direction_headsign': 'La Reina', 'direction_name': 'Outbound'}]",,403,2019-07-06,0,La Reina,Outbound
Pudahuel - Cantagallo,2019-12-31,3,000000,TS,406,F58220,,"[{'direction_id': 0, 'route_id': '406', 'direction_headsign': 'Cantagallo', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '406', 'direction_headsign': 'Pudahuel', 'direction_name': 'Inbound'}]",,406,2019-07-06,0,Cantagallo,Outbound
Pudahuel - Cantagallo,2019-12-31,3,000000,TS,406,F58220,,"[{'direction_id': 0, 'route_id': '406', 'direction_headsign': 'Cantagallo', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '406', 'direction_headsign': 'Pudahuel', 'direction_name': 'Inbound'}]",,406,2019-07-06,1,Pudahuel,Inbound
Ciudad Empresarial - Plaza Renca,2019-12-31,3,000000,TS,107c,F58220,,"[{'direction_id': 0, 'route_id': '107c', 'direction_headsign': 'Plaza Renca', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '107c', 'direction_headsign': 'C. Empresarial', 'direction_name': 'Inbound'}]",,107c,2019-07-08,0,Plaza Renca,Outbound
Ciudad Empresarial - Plaza Renca,2019-12-31,3,000000,TS,107c,F58220,,"[{'direction_id': 0, 'route_id': '107c', 'direction_headsign': 'Plaza Renca', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '107c', 'direction_headsign': 'C. Empresarial', 'direction_name': 'Inbound'}]",,107c,2019-07-08,1,C. Empresarial,Inbound
Estacion Central - Puente Alto,2019-12-31,3,FFFFFF,TS,210,0951BC,,"[{'direction_id': 0, 'route_id': '210', 'direction_headsign': 'Puente Alto', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '210', 'direction_headsign': 'Est. Central', 'direction_name': 'Inbound'}]",,210,2019-07-06,0,Puente Alto,Outbound
Estacion Central - Puente Alto,2019-12-31,3,FFFFFF,TS,210,0951BC,,"[{'direction_id': 0, 'route_id': '210', 'direction_headsign': 'Puente Alto', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '210', 'direction_headsign': 'Est. Central', 'direction_name': 'Inbound'}]",,210,2019-07-06,1,Est. Central,Inbound
(M) Bio Bio - La Pintana,2019-12-31,3,FFFFFF,TS,206c,0951BC,,"[{'direction_id': 0, 'route_id': '206c', 'direction_headsign': 'La Pintana', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '206c', 'direction_headsign': '(M) Bio Bio', 'direction_name': 'Inbound'}]",,206c,2019-07-08,0,La Pintana,Outbound
(M) Bio Bio - La Pintana,2019-12-31,3,FFFFFF,TS,206c,0951BC,,"[{'direction_id': 0, 'route_id': '206c', 'direction_headsign': 'La Pintana', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '206c', 'direction_headsign': '(M) Bio Bio', 'direction_name': 'Inbound'}]",,206c,2019-07-08,1,(M) Bio Bio,Inbound
Huechuraba - Providencia,2019-12-31,3,000000,TS,117c,F58220,,"[{'direction_id': 0, 'route_id': '117c', 'direction_headsign': 'Providencia - Huechuraba', 'direction_name': 'Outbound'}]",,117c,2019-07-08,0,Providencia - Huechuraba,Outbound
(M) La Cisterna - Ciudad Empresarial,2019-12-31,3,FFFFFF,TS,219e,0951BC,,"[{'direction_id': 0, 'route_id': '219e', 'direction_headsign': 'Ciudad Empresarial', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '219e', 'direction_headsign': '(M) La Cisterna', 'direction_name': 'Inbound'}]",,219e,2019-07-08,0,Ciudad Empresarial,Outbound
(M) La Cisterna - Ciudad Empresarial,2019-12-31,3,FFFFFF,TS,219e,0951BC,,"[{'direction_id': 0, 'route_id': '219e', 'direction_headsign': 'Ciudad Empresarial', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '219e', 'direction_headsign': '(M) La Cisterna', 'direction_name': 'Inbound'}]",,219e,2019-07-08,1,(M) La Cisterna,Inbound
Puente Alto - Matucana,2019-12-31,3,FFFFFF,TS,221e,0951BC,,"[{'direction_id': 1, 'route_id': '221e', 'direction_headsign': 'Puente Alto', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '221e', 'direction_headsign': 'Matucana', 'direction_name': 'Outbound'}]",,221e,2019-07-08,1,Puente Alto,Inbound
Puente Alto - Matucana,2019-12-31,3,FFFFFF,TS,221e,0951BC,,"[{'direction_id': 1, 'route_id': '221e', 'direction_headsign': 'Puente Alto', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '221e', 'direction_headsign': 'Matucana', 'direction_name': 'Outbound'}]",,221e,2019-07-08,0,Matucana,Outbound
(M) Vicente Valdes - Gabriela,2019-12-31,3,FFFFFF,TS,224c,0951BC,,"[{'direction_id': 0, 'route_id': '224c', 'direction_headsign': 'Gabriela', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '224c', 'direction_headsign': '(M) Vicente Valdés', 'direction_name': 'Inbound'}]",,224c,2019-07-08,0,Gabriela,Outbound
